14:44:38.071 [background-preinit] INFO  org.hibernate.validator.internal.util.Version  - HV000001: Hibernate Validator 6.1.5.Final
14:44:41.762 [main] INFO  com.lqbs.websoket_7010  - No active profile set, falling back to default profiles: default
14:44:44.155 [main] INFO  org.apache.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-7010"]
14:44:44.156 [main] INFO  org.apache.catalina.core.StandardService  - Starting service [Tomcat]
14:44:44.158 [main] INFO  org.apache.catalina.core.StandardEngine  - Starting Servlet engine: [Apache Tomcat/9.0.37]
14:44:44.599 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]  - Initializing Spring embedded WebApplicationContext
14:44:44.793 [main] WARN  com.netflix.config.sources.URLConfigurationSource  - No URLs will be polled as dynamic configuration sources.
14:44:44.798 [main] INFO  com.netflix.config.sources.URLConfigurationSource  - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
14:44:44.809 [main] WARN  com.netflix.config.sources.URLConfigurationSource  - No URLs will be polled as dynamic configuration sources.
14:44:44.809 [main] INFO  com.netflix.config.sources.URLConfigurationSource  - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
14:44:45.395 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure  - Init DruidDataSource
14:44:45.551 [main] INFO  com.alibaba.druid.pool.DruidDataSource  - {dataSource-1} inited
14:44:51.732 [main] INFO  com.netflix.discovery.DiscoveryClient  - Initializing Eureka in region us-east-1
14:44:52.976 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider  - Using JSON encoding codec LegacyJacksonJson
14:44:52.976 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider  - Using JSON decoding codec LegacyJacksonJson
14:44:53.087 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider  - Using XML encoding codec XStreamXml
14:44:53.087 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider  - Using XML decoding codec XStreamXml
14:44:53.300 [main] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver  - Resolving eureka endpoints via configuration
14:44:54.293 [main] INFO  com.netflix.discovery.DiscoveryClient  - Disable delta property : false
14:44:54.293 [main] INFO  com.netflix.discovery.DiscoveryClient  - Single vip registry refresh property : null
14:44:54.293 [main] INFO  com.netflix.discovery.DiscoveryClient  - Force full registry fetch : false
14:44:54.294 [main] INFO  com.netflix.discovery.DiscoveryClient  - Application is null : false
14:44:54.294 [main] INFO  com.netflix.discovery.DiscoveryClient  - Registered Applications size is zero : true
14:44:54.294 [main] INFO  com.netflix.discovery.DiscoveryClient  - Application version is -1: true
14:44:54.294 [main] INFO  com.netflix.discovery.DiscoveryClient  - Getting all instance registry info from the eureka server
14:44:54.525 [main] INFO  com.netflix.discovery.DiscoveryClient  - The response status is 200
14:44:54.526 [main] INFO  com.netflix.discovery.DiscoveryClient  - Starting heartbeat executor: renew interval is: 30
14:44:54.529 [main] INFO  com.netflix.discovery.InstanceInfoReplicator  - InstanceInfoReplicator onDemand update allowed rate per min is 4
14:44:54.533 [main] INFO  com.netflix.discovery.DiscoveryClient  - Discovery Client initialized at timestamp 1600325094532 with initial instances count: 0
14:44:54.535 [main] INFO  com.netflix.discovery.DiscoveryClient  - Saw local status change event StatusChangeEvent [timestamp=1600325094535, current=UP, previous=STARTING]
14:44:54.537 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient  - DiscoveryClient_WEBSOKET-PROVIDER/websoket-provider:192.168.254.1:7010: registering service...
